id,title,1_syllable,2_syllables,3_syllables,4_syllables,5_syllables,6_syllables,7_syllables,8_syllables,9_syllables,10_syllables,letter
11,aardema,,"emma, gemma, klema, lemma, lemme","aardema, bultema, dilemma, lodema, medema, mellema, miedema, postema","zuidema
",,,,,,,1
12,aardvark,,"aardvark
",,,,,,,,,1
13,aaron,,"aaron, aran, aron, beran, beron, charon, charren, charron, claran, ehren, faron, farren, farron, ferran, ferren, ferron, geran, geron, haren, heron, herren, herron, karan, karen, karon, marron, mehran, nerone, nerren, perron, sharon, sherin, sherrin, sherron, teran, theron, veron, waren, yaron, zehren","lebaron, lebarron, maclaren, mccarran, mccarren, mcclaren, mcfarren, mcferran, mcferren, mcferrin, mcferron, mclaren, mclerran, mcpheron, mulheren, susteren","subsaharan
",,,,,,,1
14,aaron's,,"aaron's, aarons, arens, barens, behrens, garron's, heron's, herons, karan's, karen's, mehrens, sharon's, terrones","mulheren's
",,,,,,,,1
15,aarons,,"aaron's, aarons, arens, barens, behrens, garron's, heron's, herons, karan's, karen's, mehrens, sharon's, terrones","mulheren's
",,,,,,,,1
16,aase,"aase, blas, bos, bosse, clos, costs, crosse, dazs, floss, foss, fosse, gosse, grosse, haas, haase, haass, hahs, hasse, hoss, klaas, klos, kos, las, maass, mohs, os, pos, ross, ross', rosse, vohs, vos, vyas","abbas, alsace, demoss, devoss, hamas, hamas', hammas, hammas', kiryas, kjos, lacoss, lafosse, tomas, vanoss","semigloss
",,,,,,,,1
17,aasen,,"aasen, bossen, claassen, closson, crossan, crosson, fossen, glosson, johson, josten, klaassen, maassen, osten, rosson, rosten, wason","chiasson, vanfossan, vanfossen
",,,,,,,,1
18,ab,"ab, bab, babb, blab, cab, crab, crabb, crabbe, dab, drab, fab, flab, gab, glab, grab, grabbe, jab, knab, knabb, krabbe, lab, labbe, mab, nab, nabb, prab, rab, rabb, sabb, scab, schab, slab, stab, tab, tabb, b, b., be, bea, bee, blea, brea, bree, brie, bui, c, c., chea, chee, cie, crea, cree, d, d., de, dea, dee, di, e, e., ee, fee, fi, flea, flee, free, freeh, fsi, g, g., gee, ghee, glee, gyi, he, hee, je, jee, ji, jie, kea, kee, key, khe, ki, klee, knee, kyi, lea, lee, leigh, li, lxi, me, mea, mee, mi, ne, nee, nghi, nie, oui, p, p., pea, peay, pee, plea, pre, pree, pri, prix, qi, quai, quay, qui, re, rea, ree, reeh, rhee, schlee, schlie, schnee, sci, sea, see, she, shi, shieh, shih, shri, si, sie, sieh, ski, slee, smee, snee, spie, spree, sri, sze, t, t., te, tea, tee, the, thee, thi, three, ti, tree, tse, v, v., ve, vee, vi, we, wee, wiehe, xi, xie, ye, yee, yi, yie, z, z., ze, zea, zee","colab, macnab, mcnab, mcnabb, prefab, ab, abee, ac, achee, acree, adee, agree, akey, albee, alee, allee, andree, askey, baldree, banshee, beaudry, bibee, bibi, bouchey, bouie, bouley, bresee, bt, buie, c3, capri, cat-3, cc, cd, chablis, childree, colee, coppee, cottee, couey, coutee, curie, debris, decree, degree, depree, depuy, deupree, draftee, dubree, dundee, dupee, dupree, duree, duryee, embree, emcee, esprit, fanguy, ferree, foree, foresee, forsee, frazee, goatee, goostree, goree, guerry, gurnee, gutsy, hao-chi, hardee, hembree, henri, ib, id, indri, ip, janii, jaycee, jessee, keesee, kissee, labree, lavie, legree, lessee, loree, losee, louie, lp, m3, macphee, magee, marie, markee, marquee, marquis, mc, mcbee, mccree, mcfee, mcgee, mcghee, mcghie, mckee, mckey, mckie, mcnee, mcphee, mcphie, mcree, mcvea, moree, mt, murphree, musee, nabil, nestle, ot, partee, pattee, pawnee, petree, pettee, piercey, piggee, pingree, portee, pouncy, ranee, ravi, rb, rippee, rupee, se, sebree, sheree, shippee, sightsee, smithee, swanee, sze-di, tangqui, tb, thierry, trainee, trustee, tv, tyree, vendee, whoopee, withee, yangtze, ye-yi, yippee, youree, yuichi","abductee, absentee, abt, addressee, adoptee, adoree, amc, amputee, apc, appointee, atp, aujourd'hui, bbc, benami, bourgeoisie, boy-ar-dee, cablec, cac, cod, comiskey, conferee, cxc, cyb, dauphinee, ddt, demaree, deportee, designee, detailee, detainee, devotee, disagree, dsv, eap, enlistee, enrollee, escapee, fatheree, fop, franchisee, ged, guarani, guarantee, guaranty, gymboree, hammontree, hardegree, hardigree, hohensee, honoree, inductee, internee, jubilee, licensee, lsd, ltd, lunati, mallonee, mckelvie, mit, mitcheltree, mme, mpg, nic, njt, nominee, oad, ocheltree, odp, ofc, oversea, parolee, potpourri, ratterree, referee, repartee, resignee, retiree, returnee, rosalee, rosemarie, satterlee, sep, signori, st_marie, syp, tenn, tennessee, t_a_c, undersea, valoree, waikiki, woodmansee","geac, hnat, interviewee, irit, irve, kagarlitsky, knbc, lapd, nyet, u_s_m_c, ziad","awb, cacld, rrrot, sffed
",,,,,,1
19,ababa,,"baba, caba, gaba, laba, saba, sabah","ababa, aqaba, helaba, indaba, komaba, mesaba, ababa
","escanaba, rubalcaba, ruvalcaba",addis-ababa,adl-tabataba,,,,,1
20,abacist,,,"abacist
",,,,,,,,1
21,aback,"ack, akc, back, backe, bak, bakke, black, brac, brack, brakke, braque, cac, caq, clack, crack, dac, dack, dak, fac, flack, flak, hack, hacke, haq, haque, jac, jack, knack, krack, kracke, kwak, lac, lack, lak, mac, mack, macke, mak, nack, nacke, pac, pack, pak, paque, plack, placke, plaque, ptak, quack, rack, rak, sac, sack, sak, schack, schlack, schnack, schrack, shack, shaq, slack, smack, snack, spack, spak, stac, stack, strack, stracke, tac, tack, tacke, tak, trac, track, trak, t_a_c, wack, whack, wrack, yack, yak, zach, zack, zak","aback, adak, arrack, attack, beaulac, chirac, dulac, knick-knack, repack, tabak, unpack, vanvlack","post-attack
",,,,,,,,1
22,abacus,,,"abacus
",,,,,,,,1
23,abad,"baade, brod, clod, cod, codd, dodd, fahd, glod, god, hodde, nod, odd, plod, pod, prod, quad, raad, rod, rodd, saad, schaad, scrod, shod, sod, squad, tod, todd, trod, wad","abad, assad, awad, ayyad, ballade, bershad, elrod, facade, girod, jawad, mossad, pernod, petard, rachad, rashad, riad, riyad, riyadh, roughshod",esplanade,"natividad
",,,,,,,1
24,abadi,,"addie, addy, braddy, caddy, daddy, gaddie, gaddy, graddy, maddie, maddy, paddy, sadie, taddy","abadi, abadie, parady, recadi
",,,,,,,,1
25,abadie,,"addie, addy, braddy, caddy, daddy, gaddie, gaddy, graddy, maddie, maddy, paddy, sadie, taddy","abadi, abadie, parady, recadi
",,,,,,,,1
26,abaft,"aft, calfed, craft, daft, draft, draught, graft, haft, krafft, kraft, laughed, raft, shaft, staffed, taft","abaft, redraft
",,,,,,,,,1
27,abair,"aer, air, ayre, baehr, baer, bahr, bair, bare, bear, behr, blair, blare, caire, care, chair, cher, clair, claire, clare, dare, darr, derr, dreher, err, eyre, fair, faire, fare, fehr, fer, ferre, flair, flare, fraire, freyre, gair, gare, gehr, glare, guerre, hair, haire, hairr, hare, hehr, heir, herr, herre, kahre, kehr, khmer, klare, knerr, kreher, lair, lare, lehr, mair, maire, mare, mehr, mer, nair, ne'er, pair, pare, pear, phair, plair, prayer, rare, reher, sare, sayre, scare, schehr, scherr, sehr, serr, share, sherr, skare, snare, spare, square, stair, stare, stehr, sterr, swear, tear, terre, their, there, they're, traer, ware, wear, wehr, werre, where, zehr","abair, adair, adaire, addair, affair, alair, allaire, astaire, auclair, aware, bancaire, beaufrere, belair, belaire, beware, bezaire, boisclair, coderre, comair, compare, convair, corriere, declare, delair, despair, dispair, ensnare, forswear, frontiere, geniere, gisclair, glenayre, impair, kenmare, laware, leclaire, lefrere, lemaire, macnair, mcnair, midair, moliere, montclair, o'hare, opere, pentair, pershare, pierre, praxair, prepare, repair, santerre, sinclair, st_clair, st_claire, swissair, takecare, trosclair, unfair, voltaire, westair, whitehair","almaguer, bellemare, billionaire, canadair, debonair, disrepair, doctrinaire, icelandair, javier, jeanpierre, larosiere, laterriere, maxicare, microware, millionaire, nationair, questionnaire, solitaire, st_pierre, unaware, usair",concessionaire,"euromobiliare, multimillionaire
",,,,,,1
28,abalone,,"boney, boni, bony, coney, croney, crony, droney, joni, loney, lowney, mony, oney, phoney, phony, pony, rhoney, roney, roni, rowney, rowny, shoney, soni, sony, stoney, stony, toney, toni, tonie, tony","antone, antoni, arnone, balboni, baldoni, baloney, baroni, bartone, bellone, benoni, bertone, bertoni, bologna, bottone, buffone, buitoni, cadrone, cannone, cantone, caponi, carboni, carcione, cardone, cardoni, carlone, carloni, cascone, cassone, cassoni, cecconi, cercone, cerone, cerrone, cervone, ciccone, cotrone, cottone, criscione, cutrone, dantoni, falcone, falconi, falzone, fasone, ferrone, forgione, franzone, franzoni, gaccione, govoni, gualdoni, guccione, guidone, idoney, ione, joyoni, lagrone, lalone, langone, lecrone, lencioni, leoni, magnone, mahoney, maloney, mangione, mangone, marcone, marconi, maroney, maroni, marrone, martone, massoni, mazzone, mazzoni, melone, meloni, menconi, mignone, moloney, montone, moroney, moroni, morrone, mulroney, nardone, negroni, ogoni, paccione, pallone, pannone, patrone, peroni, perrone, petrone, petroni, piccione, piccone, pieroni, pignone, pirrone, pisoni, quattrone, ragone, rigoni, rusconi, saccone, santone, santoni, sanzone, sapone, sassone, scarpone, sciclone, shoshone, simoni, sindoni, sordoni, spadoni, tassone, timpone, vallone, zaccone, zanoni, zappone, zarcone","abalone, andreoni, angelone, angeloni, arrigoni, battistoni, bellantoni, berlascone, berlusconi, bernasconi, bianconi, brustoloni, calderone, campione, carusone, chiappone, cipollone, cirincione, cirrincione, desimone, disimone, etzioni, faraone, francesconi, gaglione, giacone, giovannoni, iannone, leverone, macaroni, maglione, mantione, manzione, marchione, menzione, nakasone, pepperoni, perricone, polifroni, rigatoni, rugeroni, salizzoni, salomone, scaglione, schiavone, schiavoni, sciaroni, scipione, simione, stanzione, terrebonne, tucciarone, vecchione, viglione","biagioni, caltagirone, castiglione, domeniconi, edizione, iannaccone, iannacone, iavarone, monteleone, religione, tartaglione","aviazione, ricostruzione","assicurazioni, partecipazioni
",,,,1
29,abandon,,"blandon, branden, brandon, chandon, glandon, landen, landon, sanden, standen, standin', tandon, vanden","abandon, escandon, morandan, sarandon, ugandan","prostaglandin
",,,,,,,1
30,abandoned,,,"abandoned
",,,,,,,,1
31,abandonment,,,,"abandonment
",,,,,,,1
32,abandum,,"random, sandom, tandem",abandum,"memorandum
",,,,,,,1
33,abanto,,"canto, santo, santow, szanto","abanto, disanto, maranto, monsanto, taranto","esperanto
",,,,,,,1
34,abarca,,"barca, markka, parka, sarka","abarca, lamarca, petrarca","patriarca
",,,,,,,1
35,abare,,"ari, bari, chary, gari, hari, lauri, laurie, lohrey, mari, pary, saari, sari, shari, sharry, sorry, starry, vari, zary","abare, amari, anbari, ansari, atari, baccari, bihari, bottari, butare, callari, cribari, cundari, dibari, dimare, ferrari, funari, furnari, gaspari, gortari, harare, imari, lamarre, lazzari, legare, licari, lipari, macari, mascari, massari, safari, scolari, sistare, solari, trifari, vicari, villari, zangari","altomare, baldassare, baldassari, baldassarre, cagliari, calamari, callegari, canevari, colombari, decesare, degutare, dicesare, kuranari, molinari, montanari, popolare, tassinari, ulibarri, valdeshari",amakudari,"halbutogullari
",,,,,1
36,abase,"ace, base, bass, brace, caisse, case, cayce, chace, chase, crace, dace, drace, face, frace, glace, grace, heyse, lace, mace, nace, pace, place, race, space, thrace, trace, vase, wace","abase, apace, debase, deface, degrace, disgrace, displace, efface, embrace, encase, erase, incase, lambastes, left-brace, misplace, replace, retrace, right-brace",interlace,"arianespace
",,,,,,,1
37,abased,"aced, based, baste, braced, cased, chased, chaste, faced, graced, haste, laced, paced, paste, placed, raced, spaced, taste, traced, waist, waste","abased, debased, defaced, disgraced, displaced, distaste, embraced, encased, erased, foretaste, lambaste, misplaced, replaced, retraced, unplaced","interlaced
",,,,,,,,1
38,abasedly,,,,"abasedly
",,,,,,,1
39,abaser,,"acer, baser, bracer, chaser, facer, kacer, lacer, pacer, placer, racer, raysor, spacer, tracer, tracor","abaser, eraser
",,,,,,,,1
40,abash,"asch, asche, ash, ashe, basch, bash, brasch, brash, cache, cash, clash, crash, dasch, dash, flasch, flash, frasch, gash, gnash, guasch, hasch, hash, kasch, kash, lasch, lash, masch, mash, nash, pash, rasch, rasche, rash, sash, slash, smash, splash, stash, tasch, tash, thrash, trash","abash, furash, lukash, noncash, palash, precrash, rehash
",,,,,,,,,1
41,abashed,"bashed, cashed, clashed, crashed, dashed, flashed, gashed, hashed, lashed, mashed, slashed, smashed, splashed, stashed, thrashed, trashed",abashed,"unabashed
",,,,,,,,1
42,abashedly,,,,"abashedly
",,,,,,,1
43,abashing,,"bashing, cashing, clashing, crashing, dashing, fasching, flashing, gnashing, hashing, lashing, slashing, smashing, splashing, stashing, thrashing, trashing","abashing, rehashing
",,,,,,,,1
44,abashment,,,"abashment
",,,,,,,,1
45,abasing,,"basing, bracing, casing, chasing, facing, lacing, pacing, pasing, placing, racing, spacing, tracing","abasing, debasing, defacing, displacing, effacing, embracing, erasing, replacing, retracing
",,,,,,,,1
46,abate,"ate, aydt, bait, bate, beit, cate, chait, crate, date, eight, fait, fate, feight, fete, frate, freight, gait, gate, grate, great, haight, hait, hate, kate, late, leight, mate, nate, pait, pate, plait, plate, prate, rait, raitt, rate, sate, skate, slate, spate, speight, state, straight, strait, strate, streight, tait, taite, taitt, tate, trait, wait, waite, waitt, wayt, weight","abate, await, belate, berate, collate, conflate, create, debate, deflate, dictate, dilate, elate, equate, est, estate, gestate, inflate, innate, irate, iwate, kuwait, lightweight, m-8, mccreight, mcfate, misstate, negate, oblate, ornate, postdate, predate, prorate, reflate, relate, restate, sedate, sumgait, translate, tri-state, update, upstate","conjugate, desecrate, disinflate, interstate, intrastate, multistate, overrate, overweight, procreate, reinstate, silverplate, solid-state, telerate, underrate","demodulate, interrelate, recriminate, remunerate
",,,,,,,1
47,abated,,"baited, bated, dated, fated, feted, gaited, gated, grated, hated, mated, plated, rated, sated, skated, slated, stated, waited, weighted","abated, awaited, belated, berated, created, debated, deflated, dilated, elated, equated, inflated, misstated, negated, predated, prorated, related, restated, sedated, translated, undated, unrated, unstated, updated, vacated","annotated, conjugated, desecrated, overrated, overweighted, reinstated, unabated, underrated, underweighted, unrelated","interrelated
",,,,,,1
48,abatement,,statement,"abatement, misstatement, restatement","reinstatement
",,,,,,,1
49,abater,,,"abater
",,,,,,,,1
50,abates,"ates, aytes, baits, bates, bates', cates, crates, dates, eight's, eights, fates, frates, gates, gates', gates's, grates, great's, greats, hates, kate's, kates, mates, pates, plaits, plates, rate's, rates, sates, scates, skates, slates, spates, speights, state's, states, states', straights, straits, tate's, traits, waite's, waites, waits, weights, yates, yeats, zaitz","abates, awaits, conflates, creates, debate's, debates, dictates, equates, estate's, estates, inflates, kuwait's, lecates, misstates, narrates, negates, predates, relates, restates, translates, updates","annotates, conjugates, delegates', interstate's, procreates
",,,,,,,,1
51,abating,,"baiting, crating, dating, grating, hating, mating, plating, rating, sating, skating, stating, waiting, weighting","abating, awaiting, berating, creating, debating, deflating, elating, equating, inflating, misstating, negating, relating, restating, sedating, translating, updating","annotating, innovating, reinstating
",,,,,,,1
52,abba,,"abba, dabah, jabah, yabba
",,,,,,,,,1
53,abbado,,"grado, kadow, prado, rado","abbado, aguado, alzado, amado, bravado, casado, collado, corrado, cruzado, delgado, dorado, furtado, granado, guardado, hurtado, jurado, lagnado, lucado, machado, mercado, mikado, morado, morgado, pitblado, preciado, rosado, salgado, tirado, tostado, varnado, varnadoe, vornado, yokado","albarado, alvarado, avocado, baldonado, colorado, coronado, cuadrado, desperado, eldorado, maldonado, peinado, regalado, sepulvado, silverado, toronado",,"incommunicado
",,,,,1
